274.13,1078.4,0,0
303.77,988.61,0.050505,0
328.25,914.47,0.10101,0
348.81,852.2,0.15152,0
366.32,799.16,0.20202,0
381.42,753.44,0.25253,0
394.57,713.62,0.30303,0
406.12,678.63,0.35354,0
416.35,647.64,0.40404,0
425.48,620,0.45455,0
433.67,595.2,0.50505,0
441.06,572.82,0.55556,0
447.76,552.52,0.60606,0
453.86,534.03,0.65657,0
459.45,517.11,0.70707,0
464.58,501.58,0.75758,0
469.31,487.26,0.80808,0
473.68,474.02,0.85859,0
477.73,461.75,0.90909,0
481.5,450.33,0.9596,0
485.01,439.7,1.0101,0
488.29,429.75,1.0606,0
491.37,420.45,1.1111,0
494.25,411.71,1.1616,0
496.97,403.49,1.2121,0
499.52,395.76,1.2626,0
501.93,388.45,1.3131,0
504.21,381.55,1.3636,0
506.37,375.02,1.4141,0
508.41,368.82,1.4646,0
510.36,362.94,1.5152,0
512.2,357.35,1.5657,0
513.96,352.03,1.6162,0
515.63,346.96,1.6667,0
517.23,342.12,1.7172,0
518.76,337.5,1.7677,0
520.21,333.09,1.8182,0
521.61,328.86,1.8687,0
522.95,324.81,1.9192,0
524.23,320.93,1.9697,0
525.46,317.2,2.0202,0
526.64,313.63,2.0707,0
527.77,310.19,2.1212,0
528.87,306.88,2.1717,0
529.92,303.7,2.2222,0
530.93,300.63,2.2727,0
531.91,297.67,2.3232,0
532.85,294.82,2.3737,0
533.76,292.07,2.4242,0
534.63,289.41,2.4747,0
535.48,286.84,2.5253,0
536.3,284.36,2.5758,0
537.1,281.96,2.6263,0
537.86,279.63,2.6768,0
538.61,277.38,2.7273,0
539.33,275.19,2.7778,0
540.03,273.08,2.8283,0
540.71,271.02,2.8788,0
541.36,269.03,2.9293,0
542,267.1,2.9798,0
542.62,265.22,3.0303,0
543.22,263.4,3.0808,0
543.81,261.62,3.1313,0
544.38,259.9,3.1818,0
544.93,258.22,3.2323,0
545.47,256.59,3.2828,0
546,255,3.3333,0
546.51,253.45,3.3838,0
547.01,251.94,3.4343,0
547.49,250.47,3.4848,0
547.97,249.04,3.5354,0
548.43,247.64,3.5859,0
548.88,246.28,3.6364,0
549.32,244.95,3.6869,0
549.74,243.65,3.7374,0
550.16,242.38,3.7879,0
550.57,241.15,3.8384,0
550.97,239.94,3.8889,0
551.36,238.75,3.9394,0
551.74,237.6,3.9899,0
552.12,236.47,4.0404,0
552.48,235.37,4.0909,0
552.84,234.29,4.1414,0
553.18,233.23,4.1919,0
553.53,232.2,4.2424,0
553.86,231.19,4.2929,0
554.19,230.19,4.3434,0
554.51,229.22,4.3939,0
554.82,228.27,4.4444,0
555.13,227.34,4.4949,0
555.43,226.43,4.5455,0
555.73,225.54,4.596,0
556.01,224.66,4.6465,0
556.3,223.8,4.697,0
556.58,222.96,4.7475,0
556.85,222.13,4.798,0
557.12,221.32,4.8485,0
557.38,220.53,4.899,0
557.64,219.74,4.9495,0
557.89,218.98,5,0
274.13,1078.4,0,0
303.77,988.61,0.050505,0
328.25,914.47,0.10101,0
348.81,852.2,0.15152,0
366.32,799.16,0.20202,0
381.42,753.44,0.25253,0
394.57,713.62,0.30303,0
406.12,678.63,0.35354,0
416.35,647.64,0.40404,0
425.48,620,0.45455,0
433.67,595.2,0.50505,0
441.06,572.82,0.55556,0
447.76,552.52,0.60606,0
453.86,534.03,0.65657,0
459.45,517.11,0.70707,0
464.58,501.58,0.75758,0
469.31,487.26,0.80808,0
473.68,474.02,0.85859,0
477.73,461.75,0.90909,0
481.5,450.33,0.9596,0
485.01,439.7,1.0101,0
488.29,429.75,1.0606,0
491.37,420.45,1.1111,0
494.25,411.71,1.1616,0
496.97,403.49,1.2121,0
499.52,395.76,1.2626,0
501.93,388.45,1.3131,0
504.21,381.55,1.3636,0
506.37,375.02,1.4141,0
508.41,368.82,1.4646,0
510.36,362.94,1.5152,0
512.2,357.35,1.5657,0
513.96,352.03,1.6162,0
515.63,346.96,1.6667,0
517.23,342.12,1.7172,0
518.76,337.5,1.7677,0
520.21,333.09,1.8182,0
521.61,328.86,1.8687,0
522.95,324.81,1.9192,0
524.23,320.93,1.9697,0
525.46,317.2,2.0202,0
526.64,313.63,2.0707,0
527.77,310.19,2.1212,0
528.87,306.88,2.1717,0
529.92,303.7,2.2222,0
530.93,300.63,2.2727,0
531.91,297.67,2.3232,0
532.85,294.82,2.3737,0
533.76,292.07,2.4242,0
534.63,289.41,2.4747,0
535.48,286.84,2.5253,0
536.3,284.36,2.5758,0
537.1,281.96,2.6263,0
537.86,279.63,2.6768,0
538.61,277.38,2.7273,0
539.33,275.19,2.7778,0
540.03,273.08,2.8283,0
540.71,271.02,2.8788,0
